[05:05:18]  [-5.88262085e-05 -5.92425662e-03  4.06621133e+00]
[05:05:19] [YOLO] 訂閱 /camera/color/image_raw
[05:05:20] [YOLO] ✗ 未偵測到球  (miss:11)
[05:05:23] [YOLO] ✗ 未偵測到球  (miss:61)
[05:05:25] [YOLO] ✗ 未偵測到球  (miss:111)
[05:05:26] [YOLO] ✗ 未偵測到球  (miss:161)
[05:05:28] [YOLO] ✗ 未偵測到球  (miss:211)
[05:05:30] [YOLO] ✗ 未偵測到球  (miss:261)
[05:05:31] [YOLO] ✗ 未偵測到球  (miss:311)
[05:05:33] [YOLO] ✗ 未偵測到球  (miss:361)
[05:05:35] [YOLO] ✗ 未偵測到球  (miss:411)
[05:05:37] [YOLO] ✗ 未偵測到球  (miss:461)
[05:05:39] [YOLO] ✗ 未偵測到球  (miss:511)
[05:05:42] [YOLO] ✗ 未偵測到球  (miss:561)
[05:05:44] [YOLO] ✗ 未偵測到球  (miss:611)
[05:05:47] [YOLO] ✗ 未偵測到球  (miss:661)
[05:05:50] [YOLO] ✗ 未偵測到球  (miss:711)
[05:05:53] [YOLO] ✗ 未偵測到球  (miss:761)
[05:05:56] [YOLO] ✗ 未偵測到球  (miss:811)
[05:05:59] [YOLO] ✗ 未偵測到球  (miss:861)
[05:06:01] [YOLO] ✗ 未偵測到球  (miss:911)
[05:06:02] [YOLO] ✗ 未偵測到球  (miss:961)
[05:06:04] [YOLO] ✗ 未偵測到球  (miss:1011)
[05:06:06] [YOLO] ✗ 未偵測到球  (miss:1051)
[05:06:08] [YOLO] ✓ 球 全域座標: X=-0.082m  Y=0.423m  conf=0.55  (累計偵測:2)
[05:06:10] [YOLO] ✗ 未偵測到球  (miss:1141)
[05:06:13] [YOLO] ✗ 未偵測到球  (miss:1191)
[05:06:16] [YOLO] ✗ 未偵測到球  (miss:1241)
[05:06:19] [YOLO] ✗ 未偵測到球  (miss:1281)
[05:06:21] [YOLO] ✗ 未偵測到球  (miss:1331)
[05:06:23] [YOLO] ✓ 球 全域座標: X=-0.658m  Y=0.458m  conf=0.75  (累計偵測:6)
[05:06:23] [YOLO] ✓ 球 全域座標: X=-0.671m  Y=0.581m  conf=0.93  (累計偵測:11)
[05:06:23] [YOLO] ✓ 球 全域座標: X=-0.690m  Y=0.683m  conf=0.95  (累計偵測:16)
[05:06:24] [YOLO] ✓ 球 全域座標: X=-0.690m  Y=0.803m  conf=0.96  (累計偵測:21)
[05:06:24] [YOLO] ✓ 球 全域座標: X=-0.682m  Y=0.954m  conf=0.95  (累計偵測:26)
[05:06:24] [YOLO] ✓ 球 全域座標: X=-0.674m  Y=1.204m  conf=0.94  (累計偵測:31)
[05:06:25] [YOLO] ✓ 球 全域座標: X=-0.687m  Y=1.336m  conf=0.94  (累計偵測:36)
[05:06:25] [YOLO] ✓ 球 全域座標: X=-0.707m  Y=1.457m  conf=0.96  (累計偵測:41)
[05:06:25] [YOLO] ✓ 球 全域座標: X=-0.737m  Y=1.601m  conf=0.95  (累計偵測:46)
[05:06:25] [YOLO] ✓ 球 全域座標: X=-0.746m  Y=1.652m  conf=0.97  (累計偵測:51)
[05:06:26] [YOLO] ✓ 球 全域座標: X=-0.771m  Y=1.726m  conf=0.96  (累計偵測:56)
[05:06:26] [YOLO] ✓ 球 全域座標: X=-0.792m  Y=1.785m  conf=0.96  (累計偵測:61)
[05:06:26] [YOLO] ✓ 球 全域座標: X=-0.816m  Y=1.838m  conf=0.94  (累計偵測:66)
[05:06:27] [YOLO] ✓ 球 全域座標: X=-0.844m  Y=1.903m  conf=0.94  (累計偵測:71)
[05:06:27] [YOLO] ✓ 球 全域座標: X=-0.858m  Y=1.934m  conf=0.93  (累計偵測:76)
[05:06:27] [YOLO] ✓ 球 全域座標: X=-0.901m  Y=2.006m  conf=0.94  (累計偵測:81)
[05:06:27] [YOLO] ✓ 球 全域座標: X=-0.926m  Y=2.056m  conf=0.95  (累計偵測:86)
[05:06:28] [YOLO] ✓ 球 全域座標: X=-0.941m  Y=2.089m  conf=0.94  (累計偵測:91)
[05:06:28] [YOLO] ✓ 球 全域座標: X=-0.975m  Y=2.152m  conf=0.93  (累計偵測:96)
[05:06:28] [YOLO] ✓ 球 全域座標: X=-1.000m  Y=2.200m  conf=0.95  (累計偵測:101)
[05:06:28] [YOLO] ✓ 球 全域座標: X=-1.004m  Y=2.204m  conf=0.95  (累計偵測:106)
[05:06:29] [YOLO] ✓ 球 全域座標: X=-1.011m  Y=2.210m  conf=0.96  (累計偵測:111)
[05:06:29] [YOLO] ✓ 球 全域座標: X=-1.018m  Y=2.213m  conf=0.96  (累計偵測:116)
[05:06:29] [YOLO] ✓ 球 全域座標: X=-1.026m  Y=2.213m  conf=0.94  (累計偵測:121)
[05:06:29] [YOLO] ✓ 球 全域座標: X=-1.034m  Y=2.212m  conf=0.94  (累計偵測:126)
[05:06:30] [YOLO] ✓ 球 全域座標: X=-1.032m  Y=2.204m  conf=0.93  (累計偵測:131)
[05:06:30] [YOLO] ✓ 球 全域座標: X=-1.032m  Y=2.191m  conf=0.94  (累計偵測:136)
[05:06:30] [YOLO] ✓ 球 全域座標: X=-1.034m  Y=2.190m  conf=0.95  (累計偵測:141)
[05:06:31] [YOLO] ✓ 球 全域座標: X=-1.024m  Y=2.207m  conf=0.93  (累計偵測:146)
[05:06:31] [YOLO] ✓ 球 全域座標: X=-0.891m  Y=2.457m  conf=0.94  (累計偵測:151)
[05:06:31] [YOLO] ✓ 球 全域座標: X=-0.855m  Y=2.523m  conf=0.96  (累計偵測:156)
[05:06:31] [YOLO] ✓ 球 全域座標: X=-0.811m  Y=2.624m  conf=0.93  (累計偵測:161)
[05:06:32] [YOLO] ✓ 球 全域座標: X=-0.740m  Y=2.740m  conf=0.95  (累計偵測:166)
[05:06:32] [YOLO] ✓ 球 全域座標: X=-0.705m  Y=2.818m  conf=0.94  (累計偵測:171)
[05:06:32] [YOLO] ✓ 球 全域座標: X=-0.681m  Y=2.877m  conf=0.88  (累計偵測:176)
[05:06:32] [YOLO] ✓ 球 全域座標: X=-0.660m  Y=2.907m  conf=0.91  (累計偵測:181)
[05:06:33] [YOLO] ✓ 球 全域座標: X=-0.641m  Y=2.937m  conf=0.88  (累計偵測:186)
[05:06:33] [YOLO] ✓ 球 全域座標: X=-0.620m  Y=2.991m  conf=0.92  (累計偵測:191)
[05:06:33] [YOLO] ✓ 球 全域座標: X=-0.607m  Y=3.025m  conf=0.94  (累計偵測:196)
[05:06:33] [YOLO] ✓ 球 全域座標: X=-0.577m  Y=3.020m  conf=0.89  (累計偵測:201)
