[05:40:14]  [-5.88262085e-05 -5.92425662e-03  4.06621133e+00]
[05:40:14] [YOLO] 訂閱 /camera/color/image_raw
[05:40:16] [YOLO] ✗ 未偵測到球  (miss:11)
[05:40:22] [YOLO] ✗ 未偵測到球  (miss:61)
[05:40:28] [YOLO] ✗ 未偵測到球  (miss:111)
[05:40:35] [YOLO] ✗ 未偵測到球  (miss:161)
[05:40:41] [YOLO] ✗ 未偵測到球  (miss:211)
[05:40:48] [YOLO] ✗ 未偵測到球  (miss:261)
[05:40:55] [YOLO] ✗ 未偵測到球  (miss:311)
[05:41:01] [YOLO] ✗ 未偵測到球  (miss:361)
[05:41:08] [YOLO] ✗ 未偵測到球  (miss:411)
[05:41:14] [YOLO] ✗ 未偵測到球  (miss:461)
[05:41:21] [YOLO] ✗ 未偵測到球  (miss:511)
[05:41:28] [YOLO] ✗ 未偵測到球  (miss:561)
[05:41:34] [YOLO] ✗ 未偵測到球  (miss:611)
