[01:20:14] [INFO] [1779729614.837402]: ==================================================
[01:20:14] [INFO] [1779729614.839463]: [Fusion] 節點啟動
[01:20:14] [INFO] [1779729614.843306]: [Fusion] 防守線 Y = 0.50 m
[01:20:14] [INFO] [1779729614.845559]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[01:20:14] [INFO] [1779729614.848329]: [Fusion] 發布 /cmd_vel
[01:20:14] [INFO] [1779729614.849844]: ==================================================
[01:20:14] [INFO] [1779729614.871316]: [Fusion] odom 原點記錄：X=-3.584
[01:20:14] [33m[WARN] [1779729614.874651]: [Fusion] 定位收斂！var_x=0.0017 → 切換至絕對位置控制
[01:20:14] [INFO] [1779729614.928909]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.08 誤差=+0.37
[01:20:15] [INFO] [1779729615.528656]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.14 誤差=+0.31
[01:20:16] [INFO] [1779729616.029127]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.23 誤差=+0.22
[01:20:16] [INFO] [1779729616.629085]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.33 誤差=+0.12
[01:20:17] [INFO] [1779729617.228832]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.40 誤差=-0.85
[01:20:17] [INFO] [1779729617.728866]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.31 誤差=-0.76
[01:20:18] [INFO] [1779729618.328331]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.21 誤差=-0.66
[01:20:18] [INFO] [1779729618.828567]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.12 誤差=-0.57
[01:20:19] [INFO] [1779729619.428576]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.01 誤差=-0.46
[01:20:20] [INFO] [1779729620.028919]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.10 誤差=-0.35
[01:20:20] [INFO] [1779729620.628675]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.22 誤差=-0.23
[01:20:21] [INFO] [1779729621.228446]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.33 誤差=-0.12
[01:20:21] [INFO] [1779729621.728525]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.41 誤差=+0.86
[01:20:22] [INFO] [1779729622.328618]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.36 誤差=+0.81
[01:20:22] [INFO] [1779729622.928690]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.25 誤差=+0.70
[01:20:23] [INFO] [1779729623.528421]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.15 誤差=+0.60
[01:20:24] [INFO] [1779729624.028995]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.05 誤差=+0.50
[01:20:24] [INFO] [1779729624.628502]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.06 誤差=+0.39
[01:20:25] [INFO] [1779729625.128515]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.15 誤差=+0.30
[01:20:25] [INFO] [1779729625.628545]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.24 誤差=+0.21
[01:20:26] [INFO] [1779729626.128976]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.33 誤差=+0.12
[01:20:26] [INFO] [1779729626.728817]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.40 誤差=-0.85
[01:20:27] [INFO] [1779729627.328681]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.30 誤差=-0.75
[01:20:27] [INFO] [1779729627.829123]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.21 誤差=-0.66
[01:20:28] [INFO] [1779729628.428601]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.11 誤差=-0.56
