[01:33:56] [INFO] [1779730436.214247]: ==================================================
[01:33:56] [INFO] [1779730436.218635]: [Fusion] 節點啟動
[01:33:56] [INFO] [1779730436.222675]: [Fusion] 防守線 Y = 0.50 m
[01:33:56] [INFO] [1779730436.226486]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[01:33:56] [INFO] [1779730436.229009]: [Fusion] 發布 /cmd_vel
[01:33:56] [INFO] [1779730436.231253]: ==================================================
[01:33:56] [33m[WARN] [1779730436.258257]: [Fusion] 定位收斂！var_x=0.0017 → 切換至絕對位置控制
[01:33:56] [INFO] [1779730436.259170]: [Fusion] odom 原點記錄：X=-3.565
[01:33:56] [INFO] [1779730436.303908]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.09 誤差=+0.36
[01:33:56] [INFO] [1779730436.903586]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.14 誤差=+0.31
[01:33:57] [INFO] [1779730437.503426]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.24 誤差=+0.21
[01:33:58] [INFO] [1779730438.003591]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.33 誤差=+0.12
[01:33:58] [INFO] [1779730438.603284]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.42 誤差=-0.87
[01:33:59] [INFO] [1779730439.203479]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.34 誤差=-0.79
[01:33:59] [INFO] [1779730439.803483]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.24 誤差=-0.69
[01:34:00] [INFO] [1779730440.303547]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.15 誤差=-0.60
[01:34:00] [INFO] [1779730440.903043]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.05 誤差=-0.50
[01:34:01] [INFO] [1779730441.403409]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.04 誤差=-0.41
[01:34:01] [INFO] [1779730441.903470]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.14 誤差=-0.31
[01:34:02] [INFO] [1779730442.503036]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.25 誤差=-0.20
[01:34:03] [INFO] [1779730443.003641]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.34 誤差=-0.11
[01:34:03] [INFO] [1779730443.603508]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.42 誤差=+0.87
[01:34:04] [INFO] [1779730444.203380]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.35 誤差=+0.80
[01:34:04] [INFO] [1779730444.703520]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.27 誤差=+0.72
[01:34:05] [INFO] [1779730445.203660]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.18 誤差=+0.63
[01:34:05] [INFO] [1779730445.803440]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.07 誤差=+0.52
[01:34:06] [INFO] [1779730446.403251]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.04 誤差=+0.41
[01:34:07] [INFO] [1779730447.003953]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.15 誤差=+0.30
[01:34:07] [INFO] [1779730447.603595]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.26 誤差=+0.19
[01:34:08] [INFO] [1779730448.203272]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.37 誤差=+0.08
[01:34:08] [INFO] [1779730448.703426]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.42 誤差=-0.87
[01:34:09] [INFO] [1779730449.303596]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.33 誤差=-0.78
[01:34:09] [INFO] [1779730449.903408]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.23 誤差=-0.68
[01:34:10] [INFO] [1779730450.403506]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.14 誤差=-0.59
[01:34:10] [INFO] [1779730450.903595]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.05 誤差=-0.50
[01:34:11] [INFO] [1779730451.503405]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.06 誤差=-0.39
[01:34:12] [INFO] [1779730452.003660]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.15 誤差=-0.30
[01:34:12] [INFO] [1779730452.603532]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.26 誤差=-0.19
[01:34:13] [INFO] [1779730453.203109]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.37 誤差=-0.08
