[03:31:37] [INFO] [1779737497.430785]: ==================================================
[03:31:37] [INFO] [1779737497.440469]: [Fusion] 節點啟動
[03:31:37] [INFO] [1779737497.443352]: [Fusion] 防守線 Y = 0.50 m
[03:31:37] [INFO] [1779737497.446701]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[03:31:37] [INFO] [1779737497.449373]: [Fusion] 發布 /cmd_vel
[03:31:37] [INFO] [1779737497.452009]: ==================================================
[03:31:37] [INFO] [1779737497.473494]: [Fusion] odom 原點記錄：X=-1.684
[03:31:37] [33m[WARN] [1779737497.479860]: [Fusion] 定位收斂！var_x=0.0017 → 切換至絕對位置控制
[03:31:37] [INFO] [1779737497.481324]: [EKF] 初始化完成，球的初始位置: X=-0.047 Y=1.763
[03:31:37] [INFO] [1779737497.486455]: [TRACK] 球(-0.05, 1.76) v=(+0.00, +0.00) | 機器人X=-0.05 誤差=-0.00 | 速度=+0.00 θ=+0.013
[03:31:37] [INFO] [1779737497.724377]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.01) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:37] [INFO] [1779737497.933574]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:38] [INFO] [1779737498.155465]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:38] [INFO] [1779737498.370268]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.012
[03:31:38] [INFO] [1779737498.581642]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.012
[03:31:38] [INFO] [1779737498.783552]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:39] [INFO] [1779737499.013810]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:39] [INFO] [1779737499.234506]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:39] [INFO] [1779737499.434455]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:39] [INFO] [1779737499.641006]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:39] [INFO] [1779737499.873789]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:40] [INFO] [1779737500.082394]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:40] [INFO] [1779737500.305650]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:40] [INFO] [1779737500.511385]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:40] [INFO] [1779737500.732716]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:40] [INFO] [1779737500.956745]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:41] [INFO] [1779737501.166638]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:41] [INFO] [1779737501.369546]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:31:41] [INFO] [1779737501.577725]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:31:41] [INFO] [1779737501.781450]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:31:41] [INFO] [1779737501.999304]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:31:42] [INFO] [1779737502.218862]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:42] [INFO] [1779737502.427175]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:42] [INFO] [1779737502.634303]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:42] [INFO] [1779737502.849714]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:43] [INFO] [1779737503.073988]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:43] [INFO] [1779737503.282117]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:43] [INFO] [1779737503.482343]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:43] [INFO] [1779737503.682901]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:43] [INFO] [1779737503.896529]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:44] [INFO] [1779737504.131207]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:44] [INFO] [1779737504.334073]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:44] [INFO] [1779737504.562283]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:44] [INFO] [1779737504.782720]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:45] [INFO] [1779737505.006572]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:45] [INFO] [1779737505.210048]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:45] [INFO] [1779737505.434232]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:45] [INFO] [1779737505.634415]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:45] [INFO] [1779737505.864420]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:46] [INFO] [1779737506.110691]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:46] [INFO] [1779737506.329123]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:46] [INFO] [1779737506.532210]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:46] [INFO] [1779737506.737076]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:46] [INFO] [1779737506.955612]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:47] [INFO] [1779737507.174495]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:47] [INFO] [1779737507.382365]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:47] [INFO] [1779737507.583651]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:47] [INFO] [1779737507.808976]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:31:48] [INFO] [1779737508.033424]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:48] [INFO] [1779737508.236227]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:48] [INFO] [1779737508.456182]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:48] [INFO] [1779737508.683279]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:48] [INFO] [1779737508.909282]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:49] [INFO] [1779737509.114620]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:31:49] [INFO] [1779737509.332992]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:49] [INFO] [1779737509.535553]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:49] [INFO] [1779737509.751935]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:49] [INFO] [1779737509.981684]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:50] [INFO] [1779737510.182527]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:50] [INFO] [1779737510.395829]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:50] [INFO] [1779737510.618742]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:50] [INFO] [1779737510.833935]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:51] [INFO] [1779737511.034924]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:51] [INFO] [1779737511.236078]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:51] [INFO] [1779737511.453138]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:51] [INFO] [1779737511.682651]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:51] [INFO] [1779737511.883676]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:52] [INFO] [1779737512.098537]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
